19399,4807
19398,4807
19395,2138
15267,3454
82440,4334
46135,4182
46133,1602
46131,296
19973,2272
19970,1872
19977,2918
16701,517
88023,6414
88021,7734
88026,16534
88025,9254
12015,1094
88029,1791
42085,8801
64671,12989
64673,180
17251,324
17254,1418
63024,13437
63025,10533
63026,10438
63020,7566
63021,13437
63022,13437
95798,17652
10703,2083
10702,2083
10707,1884
10705,2083
10704,2083
46793,2841
46792,49
46791,2193
21619,9
21617,4919
49560,9571
21613,337
69170,472
45448,1980
45449,1980
45440,1980
45441,1980
44799,290
79231,10949
20153,4933
46869,10134
46868,10134
58079,3851
46861,10134
46860,10134
46863,10134
46862,10134
46865,10134
46864,10134
46867,10134
46866,10134
20156,3122
90310,17032
90311,17032
90312,17032
62361,8850
34609,7974
13053,856
54175,146
94541,11675
94540,11675
94543,11675
94542,11675
94545,11675
62088,5778
62085,8348
62084,9306
62081,9502
62080,1618
20250,635
20251,635
20254,635
44427,5045
44424,1153
40962,272
44420,3926
23509,309
23508,309
23507,309
23506,309
23505,309
23504,309
23503,309
23502,309
23501,309
27619,6218
27617,6218
27616,6218
27615,6218
27614,6218
27613,6218
27612,6218
27611,6218
27610,6218
59039,3442
59030,896
59037,11911
59034,9322
12832,20
12837,734
12835,21
12834,1515
8544,180
12838,1153
8541,180
8540,180
8543,180
8542,180
92263,17167
92260,17148
92261,17148
92266,16579
92264,17167
66505,12748
66506,12748
66507,6804
66501,11390
66502,12748
66503,12748
66508,4136
26563,519
26561,3676
48919,3358
65264,2892
65265,868
65260,1197
65263,739
92886,17265
92887,17265
92882,2158
92883,2158
92880,2158
92881,2158
48912,3358
32224,1197
32225,1197
32226,1197
32227,1197
32220,1197
32221,1197
32222,1197
32223,1197
32228,1197
93130,17281
98109,18131
98108,18131
75287,4603
98104,18131
75285,4603
75284,4603
75283,4603
98103,18131
98102,18131
57660,8500
99850,11321
98642,1522
98640,820
60018,12803
60019,12803
60014,10948
60015,105
60017,12803
60010,515
60011,515
60012,10948
60013,6539
21930,237
6811,605
6810,605
6813,605
6814,605
6817,605
6816,605
24146,2992
37306,1711
37307,4347
24142,5694
24143,5694
37303,1094
37309,7418
37076,3841
37077,3476
37074,7134
68348,5756
68349,364
68344,160
68345,3728
68346,3519
68347,10526
68340,9566
68341,11291
68343,326
36695,8326
30334,3310
30336,3310
30337,3310
30331,3310
30332,3310
30333,3310
76166,15347
76164,15347
30338,3310
30339,3310
76161,15347
72395,3163
91210,71
35218,1784
35219,1784
35214,1784
35215,1784
35216,1784
35217,1784
35210,1784
