1,NY
2,MA
3,RI
4,NH
5,ME
6,VT
7,CT
8,NJ
9,PA
10,DE
11,DC
12,VA
13,MD
14,WV
15,NC
16,SC
17,GA
18,FL
19,AA
20,AL
21,TN
22,MS
23,KY
24,OH
25,IN
26,MI
27,IA
28,WI
29,MN
30,SD
31,ND
32,MT
33,IL
34,MO
35,KS
36,NE
37,LA
38,AR
39,OK
40,TX
41,CO
42,WY
43,ID
44,UT
45,AZ
46,NM
47,NV
48,CA
49,AP
50,HI
51,PW
52,FM
53,MP
54,MH
55,OR
56,WA
57,AK
